Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,-0.005,0.005
0.02,-0.005,0.005
0.04,-0.005,0.005
0.06,-0.005,0
0.08,-0.005,0.005
0.1,-0.005,0.005
0.12,0,0.005
0.14,0,0.005
0.16,0,0.005
0.18,0,0.005
0.2,0,0.005
0.22,0,0.005
0.24,0,0.005
0.26,0.005,0.005
0.28,0.005,0.005
0.3,0.005,0.005
0.32,0.005,0.005
0.34,0.005,0.005
0.36,0.015,0.005
0.38,0.035,0.005
0.4,0.06,0.005
0.42,0.27,0.005
0.44,0.04,0.005
0.46,0.01,0.005
0.48,0.01,0.005
0.5,0.005,0.005
0.52,0.01,0.005
0.54,0.01,0.005
0.56,0.005,0.005
0.58,0.01,0
0.6,0.01,0.005
0.62,0.01,0.005
0.64,0.09,0.03
0.66,0.095,0.075
0.68,0.055,0.095
0.7,0.08,0.13
0.72,0.08,0.155
0.74,0.075,0.175
0.76,0.065,0.185
0.78,0.145,0.225
0.8,0.165,0.255
0.82,0.155,0.27
0.84,0.145,0.285
0.86,0.15,0.3
0.88,0.14,0.315
0.9,0.14,0.335
0.92,0.13,0.36
0.94,0.105,0.37
0.96,0.085,0.375
0.98,0.09,0.385
1,0.065,0.395
1.02,0.08,0.41
1.04,0.065,0.415
1.06,0.095,0.44
1.08,0.06,0.445
1.1,0.08,0.46
1.12,0.07,0.475
1.14,0.07,0.49
1.16,0.08,0.51
1.18,0.115,0.54
1.2,0.085,0.545
1.22,0.08,0.55
1.24,0.09,0.56
1.26,0.155,0.59
1.28,0.17,0.6
1.3,0.185,0.61
1.32,0.255,0.63
1.34,0.285,0.645
1.36,0.375,0.66
1.38,0.37,0.665
1.4,0.395,0.68
1.42,0.475,0.695
1.44,0.58,0.705
1.46,0.65,0.725
1.48,0.69,0.735
1.5,0.72,0.745
1.52,0.72,0.755
1.54,0.695,0.77
1.56,0.615,0.785
1.58,0.63,0.79
1.6,0.51,0.805
1.62,0.43,0.825
1.64,0.35,0.85
1.66,0.275,0.87
1.68,0.23,0.885
1.7,0.195,0.885
1.72,0.205,0.895
1.74,0.185,0.91
1.76,0.16,0.915
1.78,0.17,0.925
1.8,0.175,0.945
1.82,0.14,0.955
1.84,0.175,0.975
1.86,0.19,1
1.88,0.315,1.04
1.9,0.33,1.05
1.92,0.435,1.07
1.94,0.465,1.075
1.96,0.545,1.09
1.98,0.585,1.095
2,0.77,1.12
2.02,0.93,1.135
2.04,1.195,1.16
2.06,1.345,1.175
2.08,1.525,1.195
2.1,1.75,1.215
2.12,1.815,1.235
2.14,1.745,1.25
2.16,1.51,1.265
2.18,1.17,1.28
2.2,0.93,1.305
2.22,0.665,1.315
2.24,0.525,1.345
2.26,0.39,1.365
2.28,0.3,1.385
2.3,0.23,1.4
2.32,0.215,1.42
2.34,0.2,1.44
2.36,0.165,1.44
2.38,0.175,1.445
2.4,0.255,1.475
2.42,0.305,1.49
2.44,0.34,1.5
2.46,0.465,1.52
2.48,0.5,1.525
2.5,0.62,1.54
2.52,0.785,1.555
2.54,1.1,1.585
2.56,1.245,1.595
2.58,1.375,1.6
2.6,1.695,1.625
2.62,1.965,1.64
2.64,2.45,1.665
2.66,2.64,1.675
2.68,2.725,1.68
2.7,3.055,1.715
2.72,2.985,1.735
2.74,2.545,1.75
2.76,2.295,1.755
2.78,2.195,1.76
2.8,2.06,1.77
2.82,1.87,1.77
2.84,1.58,1.785
2.86,1.46,1.79
2.88,1.24,1.81
2.9,0.955,1.835
2.92,0.655,1.855
2.94,0.43,1.885
2.96,0.285,1.9
2.98,0.285,1.91
3,0.27,1.93
3.02,0.315,1.955
3.04,0.335,1.96
3.06,0.555,1.995
3.08,0.835,2.025
3.1,1.075,2.035
3.12,1.38,2.06
3.14,1.655,2.07
3.16,2.095,2.095
3.18,2.62,2.115
3.2,3.255,2.14
3.22,3.645,2.16
3.24,4.025,2.175
3.26,4.26,2.19
3.28,4.315,2.195
3.3,4.265,2.215
3.32,3.905,2.235
3.34,3.63,2.24
3.36,3.43,2.25
3.38,2.905,2.265
3.4,2.235,2.285
3.42,1.935,2.29
3.44,1.72,2.305
3.46,1.51,2.315
3.48,1.145,2.33
3.5,0.945,2.335
3.52,0.76,2.355
3.54,0.655,2.37
3.56,0.54,2.38
3.58,0.455,2.395
3.6,0.42,2.405
3.62,0.435,2.425
3.64,0.445,2.44
3.66,0.6,2.465
3.68,0.705,2.475
3.7,0.93,2.495
3.72,1.22,2.515
3.74,1.675,2.54
3.76,1.96,2.545
3.78,2.355,2.565
3.8,2.895,2.59
3.82,3.47,2.6
3.84,3.53,2.605
3.86,3.675,2.625
3.88,4.66,2.645
3.9,5.235,2.67
3.92,5.42,2.68
3.94,5.51,2.695
3.96,5.43,2.705
3.98,5.125,2.725
4,4.75,2.735
4.02,4.505,2.74
4.04,4.165,2.75
4.06,3.78,2.765
4.08,2.965,2.79
4.1,2.52,2.8
4.12,2.145,2.815
4.14,1.675,2.83
4.16,1.31,2.855
4.18,1.025,2.865
4.2,0.865,2.88
4.22,0.705,2.9
4.24,0.685,2.915
4.26,0.67,2.93
4.28,0.66,2.935
4.3,0.75,2.95
4.32,0.885,2.965
4.34,0.98,2.975
4.36,1.115,2.99
4.38,1.6,3.015
4.4,2.16,3.04
4.42,2.505,3.05
4.44,2.825,3.06
4.46,2.975,3.065
4.48,3.385,3.08
4.5,3.98,3.095
4.52,4.43,3.105
4.54,4.94,3.12
4.56,5.54,3.14
4.58,6.005,3.155
4.6,6.47,3.18
4.62,6.51,3.18
4.64,6.505,3.18
4.66,6.51,3.18
4.68,6.5,3.18
4.7,6.495,3.18
4.72,6.495,3.18
4.74,6.495,3.185
4.76,6.5,3.18
4.78,6.5,3.18
4.8,6.485,3.18
4.82,6.4,3.18
4.84,6.495,3.18
4.86,6.49,3.18
4.88,6.485,3.18
4.9,6.48,3.18
4.92,6.48,3.18
4.94,6.48,3.18
4.96,6.475,3.18
4.98,6.475,3.18
5,6.475,3.185
5.02,6.47,3.18
5.04,6.475,3.185
5.06,6.47,3.18
5.08,6.47,3.18
5.1,6.47,3.185
5.12,6.47,3.185
5.14,6.47,3.185
5.16,6.465,3.18
5.18,6.465,3.18
5.2,6.465,3.185
5.22,6.465,3.18
5.24,6.465,3.18
5.26,6.465,3.18
5.28,6.465,3.18
5.3,6.465,3.18
5.32,6.465,3.185
5.34,6.465,3.18
5.36,6.465,3.185
5.38,6.47,3.18
5.4,6.46,3.185
5.42,6.465,3.18
5.44,6.465,3.18
5.46,6.465,3.18
5.48,6.465,3.18
5.5,6.465,3.18
5.52,6.465,3.185
5.54,6.465,3.18
5.56,6.465,3.18
5.58,6.465,3.18
5.6,6.465,3.18
5.62,6.465,3.185
5.64,6.465,3.185
5.66,6.465,3.185
5.68,6.465,3.185
5.7,6.465,3.185
5.72,6.465,3.18
5.74,6.465,3.185
5.76,6.465,3.18
5.78,6.46,3.185
5.8,6.46,3.18
5.82,6.455,3.18
5.84,6.46,3.18
5.86,6.455,3.18
5.88,6.455,3.18
5.9,6.45,3.185
5.92,6.455,3.18
5.94,6.45,3.18
5.96,6.45,3.18
5.98,6.45,3.18
6,6.45,3.18
6.02,6.445,3.18
6.04,6.445,3.185
6.06,6.445,3.18
6.08,6.445,3.18
6.1,6.445,3.185
6.12,6.445,3.185
6.14,6.44,3.185
6.16,6.44,3.185
6.18,6.44,3.185
6.2,6.44,3.185
6.22,6.44,3.185
6.24,6.44,3.18
6.26,6.44,3.185
6.28,6.44,3.18
6.3,6.44,3.18
6.32,6.435,3.18
6.34,6.435,3.185
6.36,6.435,3.18
6.38,6.435,3.18
6.4,6.435,3.18
6.42,6.43,3.185
6.44,6.43,3.18
